country_name,date,parameter,product,value,unit
Chile,5/1/2021,Net Electricity Production,Electricity,7097.0916,GWh
Chile,5/1/2021,Net Electricity Production,Nuclear,0,GWh
Chile,5/1/2021,Net Electricity Production,Total Combustible Fuels,4648.252,GWh
Chile,5/1/2021,Net Electricity Production,"Coal, Peat and Manufactured Gases",2420.0492,GWh
Chile,5/1/2021,Net Electricity Production,Oil and Petroleum Products,164.6463,GWh
Chile,5/1/2021,Net Electricity Production,Natural Gas,1580.2411,GWh
Chile,5/1/2021,Net Electricity Production,Combustible Renewables,483.3154,GWh
Chile,5/1/2021,Net Electricity Production,Other Combustible Non-Renewables,0,GWh
Chile,5/1/2021,Net Electricity Production,Hydro,1319.0083,GWh
Chile,5/1/2021,Net Electricity Production,Wind,505.9499,GWh
Chile,5/1/2021,Net Electricity Production,Solar,596.3463,GWh
Chile,5/1/2021,Net Electricity Production,Geothermal,27.535,GWh
Chile,5/1/2021,Net Electricity Production,Other Renewables,0,GWh
Chile,5/1/2021,Net Electricity Production,Not Specified,0,GWh
Chile,5/1/2021,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",2932.1549,GWh
Chile,5/1/2021,Total Imports,Electricity,0,GWh
Chile,5/1/2021,Total Exports,Electricity,0,GWh
Chile,5/1/2021,Used for pumped storage,Electricity,0,GWh
Chile,5/1/2021,Distribution Losses,Electricity,348.0538,GWh
Chile,5/1/2021,Final Consumption (Calculated),Electricity,6749.0378,GWh
Colombia,5/1/2021,Net Electricity Production,Electricity,6447.1113,GWh
Colombia,5/1/2021,Net Electricity Production,Nuclear,0,GWh
Colombia,5/1/2021,Net Electricity Production,Total Combustible Fuels,1414.8815,GWh
Colombia,5/1/2021,Net Electricity Production,"Coal, Peat and Manufactured Gases",241.6375,GWh
Colombia,5/1/2021,Net Electricity Production,Oil and Petroleum Products,135.6387,GWh
Colombia,5/1/2021,Net Electricity Production,Natural Gas,929.2509,GWh
Colombia,5/1/2021,Net Electricity Production,Combustible Renewables,108.3545,GWh
Colombia,5/1/2021,Net Electricity Production,Other Combustible Non-Renewables,0,GWh
Colombia,5/1/2021,Net Electricity Production,Hydro,5003.3142,GWh
Colombia,5/1/2021,Net Electricity Production,Wind,6.7875,GWh
Colombia,5/1/2021,Net Electricity Production,Solar,22.1281,GWh
